fit 301 | relfit 5.016666666666667 | nants: 60 | use-phermn #t | drop-amt 5 | decay-amt 9
fit 130 | relfit 2.1666666666666665 | nants: 60 | use-phermn #f | drop-amt 5 | decay-amt 9
fit 273 | relfit 4.55 | nants: 60 | use-phermn #t | drop-amt 5 | decay-amt 11
fit 158 | relfit 2.6333333333333333 | nants: 60 | use-phermn #f | drop-amt 5 | decay-amt 11
fit 345 | relfit 5.75 | nants: 60 | use-phermn #t | drop-amt 7 | decay-amt 3
fit 156 | relfit 2.6 | nants: 60 | use-phermn #f | drop-amt 7 | decay-amt 3
fit 335 | relfit 5.583333333333333 | nants: 60 | use-phermn #t | drop-amt 7 | decay-amt 5
fit 166 | relfit 2.7666666666666666 | nants: 60 | use-phermn #f | drop-amt 7 | decay-amt 5
fit 367 | relfit 6.116666666666666 | nants: 60 | use-phermn #t | drop-amt 7 | decay-amt 7
fit 164 | relfit 2.7333333333333334 | nants: 60 | use-phermn #f | drop-amt 7 | decay-amt 7
fit 385 | relfit 6.416666666666667 | nants: 60 | use-phermn #t | drop-amt 7 | decay-amt 9
fit 155 | relfit 2.5833333333333335 | nants: 60 | use-phermn #f | drop-amt 7 | decay-amt 9
fit 350 | relfit 5.833333333333333 | nants: 60 | use-phermn #t | drop-amt 7 | decay-amt 11
fit 162 | relfit 2.7 | nants: 60 | use-phermn #f | drop-amt 7 | decay-amt 11
fit 346 | relfit 5.766666666666667 | nants: 60 | use-phermn #t | drop-amt 9 | decay-amt 3
fit 164 | relfit 2.7333333333333334 | nants: 60 | use-phermn #f | drop-amt 9 | decay-amt 3
fit 372 | relfit 6.2 | nants: 60 | use-phermn #t | drop-amt 9 | decay-amt 5
fit 139 | relfit 2.316666666666667 | nants: 60 | use-phermn #f | drop-amt 9 | decay-amt 5
fit 355 | relfit 5.916666666666667 | nants: 60 | use-phermn #t | drop-amt 9 | decay-amt 7
fit 168 | relfit 2.8 | nants: 60 | use-phermn #f | drop-amt 9 | decay-amt 7
fit 393 | relfit 6.55 | nants: 60 | use-phermn #t | drop-amt 9 | decay-amt 9
fit 152 | relfit 2.533333333333333 | nants: 60 | use-phermn #f | drop-amt 9 | decay-amt 9
fit 372 | relfit 6.2 | nants: 60 | use-phermn #t | drop-amt 9 | decay-amt 11
fit 163 | relfit 2.716666666666667 | nants: 60 | use-phermn #f | drop-amt 9 | decay-amt 11
fit 337 | relfit 5.616666666666666 | nants: 60 | use-phermn #t | drop-amt 11 | decay-amt 3
